Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Tottenham,Brighton,0,0,1,0,2
2023-12-15,Leicester City,Newcastle United,2,4,1,0,0
2023-12-15,Everton,Watford,0,1,4,4,1
2023-12-15,West Ham,Southampton,1,1,5,0,1
2023-12-15,Norwich City,Liverpool,4,2,5,5,2
2023-12-15,Wolves,Manchester City,5,4,2,0,1
2023-12-15,Brentford,Burnley,1,4,3,0,2
2023-12-15,Aston Villa,Chelsea,1,2,2,0,2
2023-12-15,Crystal Palace,Arsenal,4,4,5,4,2
2023-12-15,Leeds United,Manchester United,4,5,0,2,0
