Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Tottenham,Leicester City,4,5,4,3,2
2023-12-15,Watford,Aston Villa,5,2,2,4,2
2023-12-15,Leeds United,Manchester United,5,5,2,3,0
2023-12-15,Chelsea,Wolves,1,3,5,3,1
2023-12-15,Arsenal,Crystal Palace,0,3,2,4,0
2023-12-15,Brentford,West Ham,5,1,2,2,2
2023-12-15,Brighton,Manchester City,0,3,2,1,1
2023-12-15,Everton,Newcastle United,3,3,4,5,1
2023-12-15,Southampton,Liverpool,1,2,1,4,1
2023-12-15,Norwich City,Burnley,3,5,5,5,1
