Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Chelsea,Manchester City,3,3,1,1,1
2023-12-15,Tottenham,Newcastle United,3,0,3,4,1
2023-12-15,West Ham,Brentford,5,5,1,5,2
2023-12-15,Everton,Wolves,3,4,2,0,0
2023-12-15,Aston Villa,Manchester United,0,2,4,1,0
2023-12-15,Norwich City,Crystal Palace,1,0,3,5,0
2023-12-15,Brighton,Burnley,2,0,5,3,0
2023-12-15,Arsenal,Leicester City,2,0,2,0,2
2023-12-15,Watford,Southampton,3,2,0,5,0
2023-12-15,Leeds United,Liverpool,2,1,2,3,1
