Team,PlayerName,Position,NumberOfgoal,isOnPitch,isYellowCard,isRedCard,distance
Tottenham,Hugo Lloris,GK,0,1,0,0,0.66,90
Tottenham,Matt Doherty,DF,0,1,0,0,6.6,90
Tottenham,Sergio Reguilón,DF,0,1,1,0,4.07,90
Tottenham,Toby Alderweireld,DF,1,1,0,0,1.81,90
Tottenham,Pierre-Emile Højbjerg,MF,0,1,0,0,8.84,90
Tottenham,Davinson Sánchez,DF,0,1,1,0,3.47,90
Tottenham,Heung-Min Son,FW,0,1,0,0,2.34,90
Tottenham,Harry Winks,MF,0,1,0,0,7.36,90
Tottenham,Harry Kane,FW,0,1,1,0,3.72,90
Tottenham,Dele Alli,MF,1,1,1,0,9.89,90
Tottenham,Erik Lamela,MF,0,0,0,0,0,0
Tottenham,Joe Hart,GK,0,0,0,0,0,0
Tottenham,Joe Rodon,DF,0,0,0,0,0,0
Tottenham,Cristian Romero,DF,0,0,0,0,0,0
Tottenham,Eric Dier,DF,0,0,0,0,0,0
Tottenham,Oliver Skipp,MF,0,0,0,0,0,0
Tottenham,Moussa Sissoko,MF,0,0,0,0,0,0
Tottenham,Giovani Lo Celso,MF,0,0,0,0,0,0
Tottenham,Steven Bergwijn,MF,0,0,0,0,0,0
Tottenham,Emerson Royal,DF,0,0,0,0,0,0
Tottenham,Jack Clarke,MF,0,0,0,0,0,0
Tottenham,Brandon Austin,GK,0,0,0,0,0,0
Tottenham,Harvey White,MF,0,0,0,0,0,0
Leeds United,Illan Meslier,GK,0,1,1,0,0.22,90
Leeds United,Liam Cooper,DF,0,1,0,0,3.99,90
Leeds United,Diego Llorente,DF,0,1,1,0,2.6,90
Leeds United,Robin Koch,DF,0,1,0,0,6.31,90
Leeds United,Pascal Struijk,DF,0,1,0,1,3.57,49
Leeds United,Liam Cooper,DF,0,0,0,0,0,0
Leeds United,Ian Poveda,MF,0,1,0,0,8.38,90
Leeds United,Jack Harrison,MF,0,1,0,0,7.41,90
Leeds United,Patrick Bamford,FW,0,1,0,0,4.01,90
Leeds United,Ezgjan Alioski,DF,0,0,0,0,0,0
Leeds United,Tyler Roberts,FW,0,1,0,0,5.16,90
Leeds United,Kiko Casilla,GK,0,0,0,0,0,0
Leeds United,Stuart Dallas,MF,0,1,1,0,8.48,90
Leeds United,Raphinha,MF,0,0,0,0,0,0
Leeds United,Junior Firpo,DF,0,0,0,0,0,0
Leeds United,Kalvin Phillips,MF,0,0,0,0,0,0
Leeds United,Hélder Costa,MF,0,0,0,0,0,0
Leeds United,Adam Forshaw,MF,0,0,0,0,0,0
Leeds United,Jamie Shackleton,MF,0,0,0,0,0,0
Leeds United,Charlie Cresswell,DF,0,0,0,0,0,0
Leeds United,Joe Gelhardt,FW,0,1,1,0,6.17,90
Leeds United,Elia Caprile,GK,0,0,0,0,0,0
Leeds United,Jack Jenkins,MF,0,0,0,0,0,0
Brighton,Robert Sanchez,GK,0,1,0,0,0.15,90
Brighton,Tariq Lamptey,DF,0,1,1,0,6.84,90
Brighton,Ben White,DF,0,1,0,0,4.09,90
Brighton,Adam Webster,DF,1,1,0,0,4.82,90
Brighton,Lewis Dunk,DF,0,1,1,0,6.02,90
Brighton,Dale Stephens,MF,0,1,0,0,8.46,90
Brighton,Neal Maupay,FW,1,1,1,0,2.89,90
Brighton,Yves Bissouma,MF,0,1,1,0,8.9,90
Brighton,Aaron Connolly,FW,0,1,0,0,5.08,90
Brighton,Leandro Trossard,MF,1,1,0,0,9.95,90
Brighton,Pascal Groß,MF,0,0,0,0,0,0
Brighton,Florin Andone,FW,1,1,1,0,1.22,90
Brighton,Danny Welbeck,FW,0,0,0,0,0,0
Brighton,Jason Steele,GK,0,0,0,0,0,0
Brighton,Joël Veltman,DF,0,0,0,0,0,0
Brighton,Steven Alzate,MF,0,0,0,0,0,0
Brighton,Alexis Mac Allister,MF,0,0,0,0,0,0
Brighton,Jakub Moder,MF,0,0,0,0,0,0
Brighton,Enock Mwepu,MF,0,0,0,0,0,0
Brighton,Andi Zeqiri,FW,0,0,0,0,0,0
Brighton,Christian Walton,GK,0,0,0,0,0,0
Brighton,Reda Khadra,MF,0,0,0,0,0,0
Brighton,Max Sanders,MF,0,0,0,0,0,0
Liverpool,Alisson,GK,0,1,0,0,0.02,90
Liverpool,Nathaniel Phillips,DF,0,1,1,0,4.97,90
Liverpool,Fabinho,MF,1,1,1,0,8.57,90
Liverpool,Virgil van Dijk,DF,0,1,0,0,3.46,90
Liverpool,Georginio Wijnaldum,MF,1,1,0,0,7.17,90
Liverpool,Diogo Jota,FW,1,1,1,0,3.95,90
Liverpool,James Milner,MF,0,1,1,0,7.55,90
Liverpool,Naby Keïta,MF,0,0,0,0,0,0
Liverpool,Roberto Firmino,FW,1,1,1,0,1.02,90
Liverpool,Sadio Mané,FW,0,1,1,0,6.8,90
Liverpool,Mohamed Salah,FW,0,0,0,0,0,0
Liverpool,Joe Gomez,DF,0,1,1,0,6.07,90
Liverpool,Adrián,GK,0,0,0,0,0,0
Liverpool,Jordan Henderson,MF,0,0,0,0,0,0
Liverpool,Alexander-Arnold,DF,0,1,1,0,1.89,90
