Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Manchester City,Liverpool,3,4,5,0,1
2023-12-15,Norwich City,Leeds United,0,3,1,2,2
2023-12-15,Brighton,Newcastle United,5,4,5,2,2
2023-12-15,Watford,Wolves,4,5,0,0,1
2023-12-15,Brentford,Leicester City,1,4,1,5,0
2023-12-15,Chelsea,Southampton,3,1,5,3,2
2023-12-15,Tottenham,Everton,4,0,5,2,1
2023-12-15,Crystal Palace,Manchester United,3,2,5,1,1
2023-12-15,Burnley,West Ham,1,1,3,1,1
2023-12-15,Aston Villa,Arsenal,2,1,3,0,0
