Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Wolves,Brighton,4,3,3,3,2
2023-12-15,Watford,Southampton,1,1,4,2,1
2023-12-15,Norwich City,Liverpool,5,4,4,2,2
2023-12-15,Leeds United,Burnley,5,4,3,1,1
2023-12-15,Brentford,Newcastle United,1,5,5,2,2
2023-12-15,Everton,Manchester United,5,4,1,1,2
2023-12-15,Leicester City,Arsenal,0,3,4,3,2
2023-12-15,Tottenham,West Ham,1,3,4,2,1
2023-12-15,Chelsea,Aston Villa,3,2,0,5,1
2023-12-15,Crystal Palace,Manchester City,0,0,2,3,2
