Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Wolves,Leicester City,5,4,3,2,0
2023-12-15,Norwich City,Tottenham,2,4,4,4,1
2023-12-15,Manchester City,Burnley,4,1,5,0,1
2023-12-15,Everton,Watford,5,4,0,0,2
2023-12-15,West Ham,Arsenal,4,0,3,3,1
2023-12-15,Manchester United,Brighton,4,2,1,0,2
2023-12-15,Newcastle United,Brentford,4,1,1,5,1
2023-12-15,Liverpool,Chelsea,0,0,3,5,0
2023-12-15,Southampton,Aston Villa,4,5,0,1,0
2023-12-15,Leeds United,Crystal Palace,0,3,0,4,2
