Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Everton,Wolves,4,2,0,3,2
2023-12-15,Norwich City,Southampton,2,4,3,4,0
2023-12-15,Burnley,Manchester City,5,4,0,1,0
2023-12-15,Watford,Tottenham,3,3,0,1,1
2023-12-15,Manchester United,Leeds United,5,2,4,1,1
2023-12-15,Brighton,Chelsea,4,0,1,5,0
2023-12-15,Arsenal,Brentford,0,2,5,1,2
2023-12-15,West Ham,Newcastle United,1,4,0,0,2
2023-12-15,Liverpool,Leicester City,5,3,0,2,1
2023-12-15,Aston Villa,Crystal Palace,5,1,0,3,1
