Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Manchester United,Leeds United,4,1,2,3,0
2023-12-15,Crystal Palace,Leicester City,5,0,1,1,1
2023-12-15,Watford,Aston Villa,4,4,5,2,0
2023-12-15,West Ham,Newcastle United,0,1,4,1,1
2023-12-15,Liverpool,Tottenham,0,4,4,2,1
2023-12-15,Brighton,Arsenal,5,2,5,0,2
2023-12-15,Chelsea,Manchester City,0,1,0,2,1
2023-12-15,Wolves,Southampton,3,4,0,4,0
2023-12-15,Everton,Norwich City,3,0,4,2,1
2023-12-15,Brentford,Burnley,2,3,3,1,0
