Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Burnley,Arsenal,4,4,1,4,0
2023-12-15,Tottenham,Everton,3,3,3,3,0
2023-12-15,Brentford,Chelsea,1,4,5,1,1
2023-12-15,Newcastle United,Leeds United,1,1,1,1,1
2023-12-15,Liverpool,Aston Villa,1,2,0,2,2
2023-12-15,Watford,West Ham,3,1,0,0,1
2023-12-15,Wolves,Leicester City,5,1,4,5,2
2023-12-15,Manchester City,Southampton,5,4,3,2,0
2023-12-15,Crystal Palace,Manchester United,2,0,5,0,1
2023-12-15,Brighton,Norwich City,2,3,0,4,1
