Team,PlayerName,Position,NumberOfgoal,isOnPitch,isYellowCard,isRedCard,distance
Manchester United,David de Gea,GK,0,1,0,0,0.58,90
Manchester United,Victor Lindelöf,DF,0,1,0,0,5.05,90
Manchester United,Eric Bailly,DF,0,1,0,0,6.81,90
Manchester United,Phil Jones,DF,0,1,0,0,1.83,90
Manchester United,Harry Maguire,DF,1,1,0,0,5.99,90
Manchester United,Luke Shaw,DF,0,0,0,0,0,0
Manchester United,Edinson Cavani,FW,1,1,0,0,4.17,90
Manchester United,Juan Mata,MF,0,1,0,0,8.1,90
Manchester United,Anthony Martial,FW,0,1,0,0,5.05,90
Manchester United,Marcus Rashford,FW,1,1,1,0,7.0,90
Manchester United,Mason Greenwood,FW,0,0,0,0,0,0
Manchester United,Lee Grant,GK,0,0,0,0,0,0
Manchester United,Jesse Lingard,MF,1,1,0,0,8.25,90
Manchester United,Andreas Pereira,MF,0,1,1,0,7.49,90
Manchester United,Alex Telles,DF,0,0,0,0,0,0
Manchester United,Paul Pogba,MF,0,0,0,0,0,0
Manchester United,Fred,MF,0,0,0,0,0,0
Manchester United,Bruno Fernandes,MF,0,0,0,0,0,0
Manchester United,Amad Diallo,FW,0,0,0,0,0,0
Manchester United,Diogo Dalot,DF,0,0,0,0,0,0
Manchester United,Donny van de Beek,MF,0,0,0,0,0,0
Manchester United,Dean Henderson,GK,0,0,0,0,0,0
Manchester United,Shola Shoretire,MF,0,0,0,0,0,0
Leeds United,Illan Meslier,GK,0,1,0,0,0.93,90
Leeds United,Liam Cooper,DF,0,1,0,0,1.37,90
Leeds United,Diego Llorente,DF,1,1,0,0,5.47,90
Leeds United,Robin Koch,DF,1,1,1,0,6.06,90
Leeds United,Pascal Struijk,DF,0,1,0,0,5.8,90
Leeds United,Liam Cooper,DF,0,0,0,0,0,0
Leeds United,Ian Poveda,MF,0,1,0,0,8.26,90
Leeds United,Jack Harrison,MF,0,1,1,0,9.22,90
Leeds United,Patrick Bamford,FW,1,1,1,0,6.42,90
Leeds United,Ezgjan Alioski,DF,0,0,0,0,0,0
Leeds United,Tyler Roberts,FW,0,1,0,0,1.12,90
Leeds United,Kiko Casilla,GK,0,0,0,0,0,0
Leeds United,Stuart Dallas,MF,0,1,1,0,9.47,90
Leeds United,Raphinha,MF,0,0,0,0,0,0
Leeds United,Junior Firpo,DF,0,0,0,0,0,0
Leeds United,Kalvin Phillips,MF,0,0,0,0,0,0
Leeds United,Hélder Costa,MF,0,0,0,0,0,0
Leeds United,Adam Forshaw,MF,0,0,0,0,0,0
Leeds United,Jamie Shackleton,MF,0,0,0,0,0,0
Leeds United,Charlie Cresswell,DF,0,0,0,0,0,0
Leeds United,Joe Gelhardt,FW,0,1,1,0,3.84,90
Leeds United,Elia Caprile,GK,0,0,0,0,0,0
Leeds United,Jack Jenkins,MF,0,0,0,0,0,0
Brentford,David Raya,GK,0,1,0,0,0.41,90
Brentford,Mads Bech Sørensen,DF,0,1,0,0,5.07,90
