Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Crystal Palace,Wolves,0,5,4,2,1
2023-12-15,Watford,Manchester United,0,2,5,5,1
2023-12-15,Southampton,Everton,0,0,4,1,0
2023-12-15,Brighton,Tottenham,3,3,3,4,0
2023-12-15,Leeds United,West Ham,5,3,2,0,1
2023-12-15,Burnley,Arsenal,2,3,0,4,0
2023-12-15,Brentford,Liverpool,4,3,5,4,0
2023-12-15,Chelsea,Manchester City,0,5,4,4,1
2023-12-15,Aston Villa,Newcastle United,0,2,3,5,0
2023-12-15,Norwich City,Leicester City,0,1,3,1,1
