Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Manchester City,Newcastle United,1,4,4,3,1
2023-12-15,Wolves,Manchester United,5,0,0,4,0
2023-12-15,Aston Villa,Burnley,5,5,0,1,1
2023-12-15,Arsenal,Liverpool,4,2,1,2,2
2023-12-15,Leicester City,Leeds United,4,3,5,0,1
2023-12-15,Brighton,Norwich City,2,4,4,3,0
2023-12-15,Southampton,Watford,2,4,0,3,2
2023-12-15,Everton,Chelsea,5,5,3,3,2
2023-12-15,Brentford,West Ham,3,4,1,2,1
2023-12-15,Tottenham,Crystal Palace,0,3,1,0,1
