Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Wolves,Arsenal,2,0,0,0,0
2023-12-15,Brighton,Southampton,5,4,4,3,2
2023-12-15,Manchester City,Crystal Palace,1,2,0,4,0
2023-12-15,Newcastle United,Leeds United,4,4,4,1,0
2023-12-15,Leicester City,Everton,2,5,4,5,0
2023-12-15,Chelsea,Manchester United,0,0,0,2,1
2023-12-15,Norwich City,Brentford,3,2,4,4,1
2023-12-15,West Ham,Burnley,0,5,1,2,0
2023-12-15,Tottenham,Watford,5,4,1,2,1
2023-12-15,Liverpool,Aston Villa,0,0,1,1,2
