Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Tottenham,Arsenal,3,2,0,2,2
2023-12-15,Leicester City,Burnley,2,3,0,4,0
2023-12-15,West Ham,Southampton,1,5,3,2,0
2023-12-15,Watford,Everton,0,1,1,0,2
2023-12-15,Norwich City,Liverpool,0,3,4,5,2
2023-12-15,Aston Villa,Brentford,3,5,5,2,1
2023-12-15,Manchester City,Wolves,2,0,4,4,0
2023-12-15,Brighton,Leeds United,0,1,4,5,2
2023-12-15,Newcastle United,Chelsea,3,3,1,3,0
2023-12-15,Manchester United,Crystal Palace,3,5,1,0,0
