Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Aston Villa,Crystal Palace,5,2,3,5,1
2023-12-15,Chelsea,Manchester United,1,4,1,2,1
2023-12-15,Newcastle United,Manchester City,3,4,2,2,2
2023-12-15,Burnley,Southampton,2,2,4,0,1
2023-12-15,Norwich City,Arsenal,3,5,2,1,1
2023-12-15,Brighton,Watford,1,0,2,2,2
2023-12-15,Liverpool,West Ham,2,2,5,2,0
2023-12-15,Leeds United,Wolves,1,0,0,4,1
2023-12-15,Tottenham,Leicester City,2,4,2,3,0
2023-12-15,Everton,Brentford,4,2,4,3,0
