Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Southampton,Norwich City,1,2,2,1,2
2023-12-15,Brighton,Liverpool,4,5,4,3,1
2023-12-15,Brentford,Tottenham,1,5,3,3,1
2023-12-15,Manchester City,Chelsea,5,5,2,2,2
2023-12-15,Newcastle United,Manchester United,4,3,5,0,0
2023-12-15,Burnley,Wolves,4,3,4,5,1
2023-12-15,Crystal Palace,Leeds United,5,0,1,3,2
2023-12-15,Arsenal,Leicester City,5,3,1,1,2
2023-12-15,Everton,Watford,5,1,1,3,0
2023-12-15,Aston Villa,West Ham,2,0,2,3,2
