Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Brentford,West Ham,0,2,0,4,0
2023-12-15,Chelsea,Wolves,0,0,1,0,2
2023-12-15,Manchester United,Arsenal,5,0,1,3,1
2023-12-15,Liverpool,Watford,3,1,2,4,0
2023-12-15,Manchester City,Everton,0,5,1,3,1
2023-12-15,Norwich City,Brighton,1,2,0,0,0
2023-12-15,Leicester City,Leeds United,0,1,0,2,2
2023-12-15,Southampton,Aston Villa,0,3,3,1,2
2023-12-15,Crystal Palace,Tottenham,0,3,0,4,0
2023-12-15,Newcastle United,Burnley,3,3,1,1,0
