Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Watford,Arsenal,1,4,0,3,2
2023-12-15,Burnley,Aston Villa,0,3,0,4,2
2023-12-15,Newcastle United,Wolves,5,2,3,1,0
2023-12-15,Chelsea,Leicester City,1,0,3,4,0
2023-12-15,Manchester United,Brighton,5,4,2,1,1
2023-12-15,Manchester City,Liverpool,2,1,3,3,1
2023-12-15,West Ham,Leeds United,4,2,4,0,0
2023-12-15,Brentford,Everton,5,2,2,4,2
2023-12-15,Southampton,Norwich City,5,0,2,0,0
2023-12-15,Tottenham,Crystal Palace,0,1,5,1,0
