Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Manchester United,Southampton,1,3,4,1,2
2023-12-15,Brentford,Arsenal,5,0,1,5,1
2023-12-15,Liverpool,Chelsea,2,3,2,5,2
2023-12-15,Leeds United,Burnley,4,4,3,4,1
2023-12-15,Norwich City,Wolves,3,3,0,1,0
2023-12-15,Newcastle United,Aston Villa,0,2,4,4,0
2023-12-15,Manchester City,Watford,3,2,0,2,0
2023-12-15,West Ham,Brighton,1,0,5,3,1
2023-12-15,Crystal Palace,Everton,2,5,0,0,1
2023-12-15,Leicester City,Tottenham,3,3,4,4,1
