Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Brighton,Liverpool,4,1,4,4,2
2023-12-15,Chelsea,Arsenal,0,1,4,3,1
2023-12-15,Crystal Palace,West Ham,2,0,2,5,2
2023-12-15,Burnley,Southampton,5,3,0,5,0
2023-12-15,Leicester City,Newcastle United,5,0,2,4,0
2023-12-15,Manchester United,Tottenham,0,1,4,3,0
2023-12-15,Norwich City,Aston Villa,0,0,4,3,1
2023-12-15,Leeds United,Brentford,2,4,0,0,1
2023-12-15,Wolves,Manchester City,1,5,1,4,0
2023-12-15,Watford,Everton,3,5,5,4,2
