Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Arsenal,Tottenham,5,4,2,5,1
2023-12-15,Southampton,Watford,5,4,5,0,2
2023-12-15,West Ham,Manchester United,0,2,2,1,0
2023-12-15,Aston Villa,Wolves,4,0,3,3,0
2023-12-15,Burnley,Norwich City,4,4,4,1,0
2023-12-15,Chelsea,Leeds United,3,4,0,3,0
2023-12-15,Manchester City,Newcastle United,2,3,0,3,0
2023-12-15,Crystal Palace,Brentford,0,3,5,1,1
2023-12-15,Leicester City,Brighton,2,0,0,2,1
2023-12-15,Liverpool,Everton,3,1,1,1,0
