Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Manchester City,Norwich City,3,3,2,2,1
2023-12-15,Arsenal,Wolves,3,3,0,1,1
2023-12-15,Southampton,Chelsea,0,2,4,3,1
2023-12-15,Burnley,Newcastle United,1,3,4,1,0
2023-12-15,Everton,Liverpool,0,5,5,0,0
2023-12-15,Leeds United,Tottenham,4,0,0,1,0
2023-12-15,Brentford,Manchester United,3,1,5,3,1
2023-12-15,West Ham,Brighton,1,1,0,2,1
2023-12-15,Leicester City,Aston Villa,0,2,2,1,0
2023-12-15,Watford,Crystal Palace,2,4,5,0,1
