Team,PlayerName,Position,NumberOfgoal,isOnPitch,isYellowCard,isRedCard,distance
Crystal Palace,Vicente Guaita,GK,0,1,1,0,0.73,90
Crystal Palace,Joachim Andersen,DF,0,1,0,0,1.1,90
Crystal Palace,Tyrick Mitchell,DF,0,1,1,0,5.52,90
Crystal Palace,Patrick van Aanholt,DF,0,1,0,0,3.65,90
Crystal Palace,James Tomkins,DF,0,1,1,0,6.98,90
Crystal Palace,Scott Dann,DF,0,0,0,0,0,0
Crystal Palace,Michael Olise,MF,0,1,1,0,7.63,90
Crystal Palace,Cheikhou Kouyaté,MF,0,1,1,0,9.72,90
Crystal Palace,Christian Benteke,FW,0,1,1,0,6.75,90
Crystal Palace,Wilfried Zaha,MF,0,1,0,0,8.73,90
Crystal Palace,Jeffrey Schlupp,MF,0,0,0,0,0,0
Crystal Palace,Jack Butland,GK,0,0,0,0,0,0
Crystal Palace,Connor Wickham,FW,0,1,1,0,5.93,90
Crystal Palace,Andros Townsend,MF,0,0,0,0,0,0
Crystal Palace,Luka Milivojević,MF,0,0,0,0,0,0
Crystal Palace,James McArthur,MF,0,0,0,0,0,0
Crystal Palace,Jordan Ayew,FW,0,1,0,0,6.37,90
Crystal Palace,Nathaniel Clyne,DF,0,0,0,0,0,0
Crystal Palace,Martin Kelly,DF,0,0,0,0,0,0
Crystal Palace,Joel Ward,DF,0,0,0,0,0,0
Crystal Palace,Wayne Hennessey,GK,0,0,0,0,0,0
Crystal Palace,Odsonne Édouard,FW,0,0,0,0,0,0
Crystal Palace,Will Hughes,MF,0,0,0,0,0,0
Wolves,Rui Patrício,GK,0,1,0,0,0.27,90
Wolves,Max Kilman,DF,1,1,0,0,5.05,90
Wolves,Romain Saïss,DF,0,1,0,0,1.71,90
Wolves,Conor Coady,DF,1,1,1,0,2.06,90
Wolves,Fernando Marçal,DF,0,1,1,0,5.31,90
Wolves,Nélson Semedo,DF,0,0,0,0,0,0
Wolves,Rúben Neves,MF,1,1,1,0,8.91,90
Wolves,Rúben Neves,MF,0,1,0,0,8.5,90
Wolves,Adama Traoré,MF,0,1,1,0,8.44,90
Wolves,Raúl Jiménez,FW,1,1,1,0,4.09,90
Wolves,Francisco Trincão,MF,0,0,0,0,0,0
Wolves,John Ruddy,GK,0,0,0,0,0,0
Wolves,Leander Dendoncker,MF,0,0,0,0,0,0
Wolves,João Moutinho,MF,0,0,0,0,0,0
Wolves,Willian José,FW,1,1,1,0,3.76,90
Wolves,João Moutinho,MF,0,0,0,0,0,0
Wolves,Adama Traoré,MF,0,0,0,0,0,0
Wolves,Marçal,DF,0,0,0,0,0,0
Wolves,Patrick Cutrone,FW,0,1,0,0,1.85,90
Wolves,Meritan Shabani,MF,0,0,0,0,0,0
Wolves,Christian Marques,DF,0,0,0,0,0,0
Wolves,Theo Corbeanu,FW,0,0,0,0,0,0
Wolves,Andreas Söndergaard,GK,0,0,0,0,0,0
Watford,Daniel Bachmann,GK,0,1,1,0,0.2,90
Watford,William Troost-Ekong,DF,0,1,0,0,4.19,90
Watford,Adam Masina,DF,0,1,1,0,6.44,90
Watford,Craig Cathcart,DF,0,1,0,0,1.27,90
Watford,Christian Kabasele,DF,0,1,1,0,3.31,90
Watford,Imran Louza,MF,0,1,0,0,9.88,90
Watford,Ismaila Sarr,MF,0,1,1,0,8.48,90
