Team,PlayerName,Position,NumberOfgoal,isOnPitch,isYellowCard,isRedCard,distance
Chelsea,Kepa Arrizabalaga,GK,0,1,1,0,0.74,90
Chelsea,Antonio Rüdiger,DF,0,1,0,0,3.17,90
Chelsea,Marcos Alonso,DF,1,1,0,0,1.85,90
Chelsea,Andreas Christensen,DF,1,1,0,0,5.78,90
Chelsea,Jorginho,MF,1,1,1,0,8.7,90
Chelsea,Thiago Silva,DF,0,1,0,0,5.93,90
Chelsea,N'Golo Kanté,MF,1,1,1,0,8.85,90
Chelsea,Mateo Kovačić,MF,1,1,1,0,9.41,90
Chelsea,Romelu Lukaku,FW,0,1,1,0,6.58,90
Chelsea,Christian Pulisic,FW,0,1,1,0,5.35,90
Chelsea,Timo Werner,FW,0,1,1,0,1.68,90
Chelsea,Ruben Loftus-Cheek,MF,0,0,0,0,0,0
Chelsea,Willy Caballero,GK,0,0,0,0,0,0
Chelsea,Tammy Abraham,FW,0,0,0,0,0,0
Chelsea,Kurt Zouma,DF,0,0,0,0,0,0
Chelsea,Edouard Mendy,GK,0,0,0,0,0,0
Chelsea,Saul Niguez,MF,0,0,0,0,0,0
Chelsea,Marco van Ginkel,MF,0,0,0,0,0,0
Chelsea,Mason Mount,MF,0,0,0,0,0,0
Chelsea,Callum Hudson-Odoi,MF,0,0,0,0,0,0
Chelsea,Reece James,DF,0,0,0,0,0,0
Chelsea,Christian Pulisic,FW,0,0,0,0,0,0
Chelsea,Emerson Palmieri,DF,0,0,0,0,0,0
Manchester City,Ederson,GK,0,1,1,0,0.56,90
Manchester City,Kyle Walker,DF,0,1,1,0,6.89,90
Manchester City,Rúben Dias,DF,0,1,0,0,3.71,90
Manchester City,John Stones,DF,0,1,0,0,4.13,90
Manchester City,Aymeric Laporte,DF,0,1,0,0,3.4,90
Manchester City,Nathan Aké,DF,0,0,0,0,0,0
Manchester City,Raheem Sterling,MF,0,1,0,0,8.24,90
Manchester City,Ilkay Gündogan,MF,0,1,0,0,9.03,90
Manchester City,Gabriel Jesus,FW,0,1,0,0,3.37,90
Manchester City,Kevin De Bruyne,MF,0,1,0,0,9.62,90
Manchester City,Riyad Mahrez,MF,0,0,0,0,0,0
Manchester City,Zack Steffen,GK,0,0,0,0,0,0
Manchester City,João Cancelo,DF,0,0,0,0,0,0
Manchester City,Aymeric Laporte,DF,0,0,0,0,0,0
Manchester City,Jack simonz,MF,0,0,0,0,0,0
Manchester City,Rodri,MF,0,0,0,0,0,0
Manchester City,Ferran Torres,FW,0,1,1,0,6.43,90
Manchester City,Phil Foden,MF,0,0,0,0,0,0
Manchester City,Liam Delap,FW,0,1,1,0,3.17,90
Manchester City,Bernardo Silva,MF,0,0,0,0,0,0
Manchester City,Scott Carson,GK,0,0,0,0,0,0
Manchester City,James McAtee,MF,0,0,0,0,0,0
Manchester City,Adrián Bernabé,MF,0,0,0,0,0,0
Leeds United,Illan Meslier,GK,0,1,0,0,0.18,90
Leeds United,Liam Cooper,DF,0,1,1,0,1.13,90
Leeds United,Diego Llorente,DF,0,1,1,0,2.74,90
Leeds United,Robin Koch,DF,1,1,0,0,2.56,90
Leeds United,Pascal Struijk,DF,0,1,1,0,2.08,90
Leeds United,Liam Cooper,DF,0,0,0,0,0,0
Leeds United,Ian Poveda,MF,0,1,1,0,8.06,90
Leeds United,Jack Harrison,MF,0,1,0,0,8.96,90
Leeds United,Patrick Bamford,FW,0,1,1,0,6.42,90
Leeds United,Ezgjan Alioski,DF,0,0,0,0,0,0
Leeds United,Tyler Roberts,FW,0,1,1,0,2.51,90
Leeds United,Kiko Casilla,GK,0,0,0,0,0,0
Leeds United,Stuart Dallas,MF,0,1,0,0,8.95,90
Leeds United,Raphinha,MF,0,0,0,0,0,0
Leeds United,Junior Firpo,DF,0,0,0,0,0,0
Leeds United,Kalvin Phillips,MF,0,0,0,0,0,0
Leeds United,Hélder Costa,MF,0,0,0,0,0,0
Leeds United,Adam Forshaw,MF,0,0,0,0,0,0
Leeds United,Jamie Shackleton,MF,0,0,0,0,0,0
Leeds United,Charlie Cresswell,DF,0,0,0,0,0,0
Leeds United,Joe Gelhardt,FW,0,1,0,0,6.32,90
Leeds United,Elia Caprile,GK,0,0,0,0,0,0
Leeds United,Jack Jenkins,MF,0,0,0,0,0,0
