Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Manchester United,Leeds United,4,3,5,2,2
2023-12-15,Brentford,Norwich City,5,1,1,2,1
2023-12-15,Brighton,Arsenal,1,2,3,2,1
2023-12-15,Liverpool,Chelsea,4,4,1,5,2
2023-12-15,Newcastle United,Crystal Palace,2,1,1,3,2
2023-12-15,Tottenham,West Ham,4,1,2,2,0
2023-12-15,Burnley,Watford,1,1,4,3,0
2023-12-15,Southampton,Manchester City,1,5,4,0,0
2023-12-15,Leicester City,Everton,4,0,4,4,1
2023-12-15,Aston Villa,Wolves,2,4,0,4,1
