Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Watford,Manchester City,2,3,2,5,2
2023-12-15,Crystal Palace,Everton,5,5,1,4,0
2023-12-15,Arsenal,Brighton,4,1,4,5,0
2023-12-15,West Ham,Leicester City,3,4,3,3,2
2023-12-15,Chelsea,Newcastle United,2,4,5,0,0
2023-12-15,Leeds United,Southampton,3,5,1,3,2
2023-12-15,Brentford,Wolves,5,0,2,0,2
2023-12-15,Liverpool,Norwich City,2,3,0,0,2
2023-12-15,Aston Villa,Tottenham,1,1,3,1,0
2023-12-15,Manchester United,Burnley,3,1,2,5,1
