Team,PlayerName,Position,NumberOfgoal,isOnPitch,isYellowCard,isRedCard,distance
Watford,Daniel Bachmann,GK,0,1,1,0,0.28,90
Watford,William Troost-Ekong,DF,1,1,0,0,1.06,90
Watford,Adam Masina,DF,1,1,1,0,2.47,90
Watford,Craig Cathcart,DF,0,1,0,0,4.11,90
Watford,Christian Kabasele,DF,0,1,0,0,1.59,90
Watford,Imran Louza,MF,0,1,1,0,8.64,90
Watford,Ismaila Sarr,MF,0,1,0,0,8.43,90
Watford,João Pedro,FW,0,1,0,0,6.61,90
Watford,Emmanuel Dennis,FW,0,1,0,0,1.71,90
Watford,Troy Deeney,FW,0,1,1,0,1.11,90
Watford,Josh King,FW,0,0,0,0,0,0
Watford,Ben Foster,GK,0,0,0,0,0,0
Watford,Francisco Sierralta,DF,0,0,0,0,0,0
Watford,Jeremy Ngakia,DF,0,0,0,0,0,0
Watford,William Hughes,MF,0,1,0,0,7.42,90
Watford,Will Hughes,MF,0,0,0,0,0,0
Watford,Stipe Perica,FW,0,0,0,0,0,0
Watford,Kiko Femenía,DF,0,0,0,0,0,0
Watford,Domingos Quina,MF,0,0,0,0,0,0
Watford,Adam Parkes,GK,0,0,0,0,0,0
Watford,Joseph Hungbo,MF,0,0,0,0,0,0
Watford,Isaac Success,FW,0,0,0,0,0,0
Watford,Philip Zinckernagel,MF,0,0,0,0,0,0
Manchester City,Ederson,GK,0,1,0,0,0.14,90
Manchester City,Kyle Walker,DF,0,1,0,0,4.57,90
Manchester City,Rúben Dias,DF,0,1,1,0,6.69,90
Manchester City,John Stones,DF,0,1,1,0,5.29,90
Manchester City,Aymeric Laporte,DF,1,1,1,0,4.0,90
Manchester City,Nathan Aké,DF,0,0,0,0,0,0
Manchester City,Raheem Sterling,MF,1,1,1,0,9.33,90
Manchester City,Ilkay Gündogan,MF,0,1,1,0,8.63,90
Manchester City,Gabriel Jesus,FW,1,1,0,0,1.91,90
Manchester City,Kevin De Bruyne,MF,0,1,0,0,7.27,90
Manchester City,Riyad Mahrez,MF,0,0,0,0,0,0
Manchester City,Zack Steffen,GK,0,0,0,0,0,0
Manchester City,João Cancelo,DF,0,0,0,0,0,0
Manchester City,Aymeric Laporte,DF,0,0,0,0,0,0
Manchester City,Jack simonz,MF,0,0,0,0,0,0
Manchester City,Rodri,MF,0,0,0,0,0,0
Manchester City,Ferran Torres,FW,0,1,1,0,3.02,90
Manchester City,Phil Foden,MF,0,0,0,0,0,0
Manchester City,Liam Delap,FW,0,1,1,0,5.01,90
Manchester City,Bernardo Silva,MF,0,0,0,0,0,0
Manchester City,Scott Carson,GK,0,0,0,0,0,0
Manchester City,James McAtee,MF,0,0,0,0,0,0
Manchester City,Adrián Bernabé,MF,0,0,0,0,0,0
Crystal Palace,Vicente Guaita,GK,0,1,0,0,0.26,90
Crystal Palace,Joachim Andersen,DF,1,1,0,0,5.39,90
Crystal Palace,Tyrick Mitchell,DF,1,1,0,0,1.5,90
Crystal Palace,Patrick van Aanholt,DF,1,1,0,0,2.2,90
Crystal Palace,James Tomkins,DF,0,1,0,0,3.45,90
Crystal Palace,Scott Dann,DF,0,0,0,0,0,0
Crystal Palace,Michael Olise,MF,1,1,1,0,8.13,90
Crystal Palace,Cheikhou Kouyaté,MF,1,1,1,0,7.7,90
Crystal Palace,Christian Benteke,FW,0,1,0,0,1.06,90
Crystal Palace,Wilfried Zaha,MF,0,1,1,0,8.1,90
Crystal Palace,Jeffrey Schlupp,MF,0,0,0,0,0,0
Crystal Palace,Jack Butland,GK,0,0,0,0,0,0
Crystal Palace,Connor Wickham,FW,0,1,0,0,3.51,90
Crystal Palace,Andros Townsend,MF,0,0,0,0,0,0
Crystal Palace,Luka Milivojević,MF,0,0,0,0,0,0
Crystal Palace,James McArthur,MF,0,0,0,0,0,0
Crystal Palace,Jordan Ayew,FW,0,1,1,0,4.84,90
Crystal Palace,Nathaniel Clyne,DF,0,0,0,0,0,0
Crystal Palace,Martin Kelly,DF,0,0,0,0,0,0
Crystal Palace,Joel Ward,DF,0,0,0,0,0,0
Crystal Palace,Wayne Hennessey,GK,0,0,0,0,0,0
Crystal Palace,Odsonne Édouard,FW,0,0,0,0,0,0
Crystal Palace,Will Hughes,MF,0,0,0,0,0,0
Everton,Jordan Pickford,GK,0,1,0,0,0.72,90
Everton,Mason Holgate,DF,0,1,0,0,5.49,90
Everton,Yerry Mina,DF,0,1,1,0,4.25,90
Everton,Michael Keane,DF,0,1,1,0,3.1,90
Everton,Ben Godfrey,DF,0,1,1,0,1.17,90
Everton,Allan,MF,1,1,0,0,7.62,90
Everton,André Gomes,MF,1,1,0,0,8.9,90
Everton,Fabian Delph,MF,1,1,1,0,8.99,90
Everton,Dominic Calvert-Lewin,FW,1,1,0,0,6.13,90
Everton,Gylfi Sigurðsson,MF,0,0,0,0,0,0
Everton,James Rodríguez,MF,0,0,0,0,0,0
Everton,Alex Iwobi,MF,0,0,0,0,0,0
Everton,Asmir Begović,GK,0,0,0,0,0,0
Everton,Abdoulaye Doucouré,MF,0,0,0,0,0,0
Everton,Moise Kean,FW,1,1,1,0,3.93,90
Everton,Andros Townsend,MF,0,0,0,0,0,0
Everton,Alexander-Arnold,DF,0,0,0,0,0,0
Everton,Anthony Gordon,MF,0,0,0,0,0,0
Everton,Jonjoe Kenny,DF,0,0,0,0,0,0
Everton,Denis Adeniran,MF,0,0,0,0,0,0
Everton,André Gomes,MF,0,0,0,0,0,0
Everton,Andy Lonergan,GK,0,0,0,0,0,0
Everton,Harry Tyrer,GK,0,0,0,0,0,0
Arsenal,Bernd Leno,GK,0,1,1,0,0.57,90
Arsenal,Tomáš Holes,DF,0,1,0,0,6.49,90
Arsenal,Kieran Tierney,DF,1,1,0,0,2.25,90
Arsenal,Ben White,DF,0,1,0,0,3.15,90
Arsenal,Thomas Partey,MF,0,1,0,0,9.4,90
Arsenal,Gabriel Magalhães,DF,1,1,0,0,5.47,90
Arsenal,Bukayo Saka,MF,1,1,1,0,9.44,90
Arsenal,Martin Ødegaard,MF,1,1,0,0,8.19,90
Arsenal,Alexandre Lacazette,FW,0,1,0,0,6.04,90
Arsenal,Pierre-Emerick Aubameyang,FW,0,1,0,0,3.75,90
Arsenal,Mohamed Elneny,MF,0,0,0,0,0,0
Arsenal,Willian,MF,0,0,0,0,0,0
Arsenal,Alex Rúnarsson,GK,0,0,0,0,0,0
Arsenal,Pablo Marí,DF,0,0,0,0,0,0
Arsenal,Eddie Nketiah,FW,0,1,0,0,1.32,90
Arsenal,Rob Holding,DF,0,0,0,0,0,0
Arsenal,Cédric Soares,DF,0,0,0,0,0,0
Arsenal,Dani Ceballos,MF,0,0,0,0,0,0
Arsenal,Nicolas Pépé,MF,0,0,0,0,0,0
Arsenal,Nuno Tavares,DF,0,0,0,0,0,0
Arsenal,Calum Chambers,DF,0,0,0,0,0,0
Arsenal,Emile Smith Rowe,MF,0,0,0,0,0,0
Arsenal,Eddie Nketiah,FW,0,0,0,0,0,0
Brighton,Robert Sanchez,GK,0,1,0,0,0.49,90
Brighton,Tariq Lamptey,DF,0,1,1,0,4.04,90
Brighton,Ben White,DF,0,1,0,0,6.76,90
Brighton,Adam Webster,DF,0,1,0,0,6.28,90
Brighton,Lewis Dunk,DF,0,1,0,0,4.31,90
Brighton,Dale Stephens,MF,0,1,1,0,7.48,90
Brighton,Neal Maupay,FW,1,1,1,0,3.03,90
Brighton,Yves Bissouma,MF,0,1,0,0,8.61,90
Brighton,Aaron Connolly,FW,0,1,0,0,6.34,90
Brighton,Leandro Trossard,MF,0,1,1,0,8.46,90
Brighton,Pascal Groß,MF,0,0,0,0,0,0
Brighton,Florin Andone,FW,0,1,1,0,4.25,90
Brighton,Danny Welbeck,FW,0,0,0,0,0,0
Brighton,Jason Steele,GK,0,0,0,0,0,0
Brighton,Joël Veltman,DF,0,0,0,0,0,0
Brighton,Steven Alzate,MF,0,0,0,0,0,0
Brighton,Alexis Mac Allister,MF,0,0,0,0,0,0
Brighton,Jakub Moder,MF,0,0,0,0,0,0
Brighton,Enock Mwepu,MF,0,0,0,0,0,0
Brighton,Andi Zeqiri,FW,0,0,0,0,0,0
Brighton,Christian Walton,GK,0,0,0,0,0,0
Brighton,Reda Khadra,MF,0,0,0,0,0,0
Brighton,Max Sanders,MF,0,0,0,0,0,0
West Ham,Lukasz Fabianski,GK,0,1,0,0,0.99,90
West Ham,Winston Reid,DF,0,1,0,0,5.51,90
