Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Manchester United,Chelsea,4,3,5,2,0
2023-12-15,Leeds United,Tottenham,0,1,4,1,1
2023-12-15,Brentford,Leicester City,0,2,1,2,0
2023-12-15,Newcastle United,Southampton,4,4,3,5,0
2023-12-15,Aston Villa,Crystal Palace,1,3,5,0,0
2023-12-15,Wolves,Manchester City,2,5,1,1,2
2023-12-15,Everton,Arsenal,4,2,2,0,0
2023-12-15,Burnley,Norwich City,5,1,3,5,0
2023-12-15,Watford,Brighton,2,1,0,0,0
2023-12-15,West Ham,Liverpool,2,0,2,2,2
