Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Chelsea,Manchester City,5,0,3,1,1
2023-12-15,Leeds United,Crystal Palace,1,1,1,4,0
2023-12-15,Newcastle United,Watford,4,4,0,2,0
2023-12-15,Brentford,Southampton,2,1,3,4,0
2023-12-15,Burnley,Everton,1,1,3,3,2
2023-12-15,Arsenal,Manchester United,5,5,1,1,2
2023-12-15,Aston Villa,Liverpool,3,1,1,1,2
2023-12-15,Brighton,Norwich City,2,0,4,1,2
2023-12-15,West Ham,Wolves,3,4,3,0,1
2023-12-15,Leicester City,Tottenham,2,5,1,0,1
