Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Liverpool,Arsenal,5,1,2,0,2
2023-12-15,Manchester United,Brighton,4,1,5,3,2
2023-12-15,Leicester City,Leeds United,5,2,0,2,2
2023-12-15,Norwich City,Burnley,5,4,2,4,0
2023-12-15,Manchester City,Newcastle United,4,5,0,1,2
2023-12-15,Watford,West Ham,0,4,0,2,0
2023-12-15,Brentford,Chelsea,3,4,0,5,2
2023-12-15,Crystal Palace,Southampton,1,1,1,4,0
2023-12-15,Tottenham,Wolves,4,1,5,1,1
2023-12-15,Everton,Aston Villa,4,3,3,3,1
