Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Everton,Leicester City,3,2,5,0,1
2023-12-15,Liverpool,Chelsea,1,5,4,3,2
2023-12-15,Watford,Crystal Palace,5,1,5,3,0
2023-12-15,Newcastle United,Burnley,4,5,2,2,0
2023-12-15,West Ham,Southampton,1,0,4,0,0
2023-12-15,Brentford,Manchester United,1,0,5,5,0
2023-12-15,Aston Villa,Norwich City,3,0,5,2,1
2023-12-15,Manchester City,Brighton,1,5,1,1,1
2023-12-15,Arsenal,Leeds United,4,1,1,5,1
2023-12-15,Tottenham,Wolves,0,0,2,0,0
