Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Norwich City,Manchester City,3,2,2,2,1
2023-12-15,Brighton,Everton,5,2,3,5,1
2023-12-15,Burnley,Chelsea,5,4,5,4,2
2023-12-15,Wolves,Arsenal,1,3,4,4,0
2023-12-15,Liverpool,Southampton,0,1,3,2,0
2023-12-15,Leeds United,West Ham,5,2,4,3,2
2023-12-15,Aston Villa,Newcastle United,2,0,3,3,1
2023-12-15,Crystal Palace,Manchester United,2,0,2,3,0
2023-12-15,Leicester City,Watford,2,3,5,2,2
2023-12-15,Brentford,Tottenham,2,5,5,2,2
