Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,West Ham,Everton,0,2,4,4,1
2023-12-15,Manchester United,Watford,4,5,1,1,1
2023-12-15,Wolves,Crystal Palace,3,0,5,4,2
2023-12-15,Arsenal,Norwich City,0,1,2,1,2
2023-12-15,Brentford,Burnley,5,2,5,5,1
2023-12-15,Liverpool,Manchester City,2,1,0,3,1
2023-12-15,Southampton,Tottenham,5,3,4,4,2
2023-12-15,Leicester City,Newcastle United,5,1,0,2,1
2023-12-15,Chelsea,Brighton,1,5,5,0,0
2023-12-15,Aston Villa,Leeds United,3,2,0,5,0
