Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Crystal Palace,Norwich City,2,4,3,1,2
2023-12-15,Newcastle United,Leeds United,4,4,2,4,2
2023-12-15,Leicester City,Chelsea,4,5,4,5,1
2023-12-15,Southampton,West Ham,4,5,0,4,2
2023-12-15,Brighton,Wolves,4,3,3,5,2
2023-12-15,Everton,Liverpool,4,3,5,0,0
2023-12-15,Brentford,Arsenal,1,0,3,5,1
2023-12-15,Manchester United,Burnley,5,4,0,3,1
2023-12-15,Tottenham,Watford,1,4,2,2,0
2023-12-15,Aston Villa,Manchester City,2,5,5,0,2
