Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Tottenham,Leeds United,2,0,1,0,2
2023-12-15,Brighton,Liverpool,5,4,4,5,0
2023-12-15,Southampton,Wolves,4,4,1,2,2
2023-12-15,Manchester City,Arsenal,5,4,2,1,1
2023-12-15,Aston Villa,West Ham,3,3,5,2,0
2023-12-15,Burnley,Manchester United,3,2,0,5,1
2023-12-15,Crystal Palace,Brentford,2,0,2,5,1
2023-12-15,Watford,Norwich City,3,3,5,4,0
2023-12-15,Everton,Newcastle United,0,2,4,4,1
2023-12-15,Chelsea,Leicester City,0,0,0,2,0
