Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,West Ham,Liverpool,0,0,4,0,0
2023-12-15,Leicester City,Watford,2,5,0,2,1
2023-12-15,Norwich City,Burnley,3,5,3,2,2
2023-12-15,Aston Villa,Newcastle United,0,3,4,0,2
2023-12-15,Everton,Manchester United,4,2,3,5,0
2023-12-15,Southampton,Tottenham,0,2,5,0,2
2023-12-15,Manchester City,Crystal Palace,0,1,1,1,2
2023-12-15,Leeds United,Arsenal,0,5,5,4,0
2023-12-15,Wolves,Chelsea,1,2,0,0,2
2023-12-15,Brentford,Brighton,4,1,3,4,2
