Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Newcastle United,Brighton,2,1,0,1,1
2023-12-15,Aston Villa,Tottenham,5,5,2,3,0
2023-12-15,Manchester City,Chelsea,0,3,2,2,0
2023-12-15,Leicester City,Southampton,4,1,1,2,0
2023-12-15,West Ham,Everton,5,4,2,4,0
2023-12-15,Manchester United,Crystal Palace,1,1,3,1,0
2023-12-15,Leeds United,Norwich City,2,2,1,2,2
2023-12-15,Wolves,Brentford,1,1,2,5,2
2023-12-15,Watford,Burnley,2,0,3,0,2
2023-12-15,Liverpool,Arsenal,0,5,0,2,0
