Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,NumberOfSubstions,NumYellowCards,NumRedCards
2023-12-15,Brighton,Brentford,1,4,0,1,2
2023-12-15,Leicester City,Southampton,4,3,1,3,2
2023-12-15,Tottenham,Manchester United,1,4,3,0,0
2023-12-15,Everton,West Ham,5,0,5,1,0
2023-12-15,Burnley,Wolves,1,3,3,1,0
2023-12-15,Manchester City,Liverpool,2,2,0,1,1
2023-12-15,Watford,Crystal Palace,3,1,3,5,2
2023-12-15,Chelsea,Arsenal,0,3,5,5,1
2023-12-15,Leeds United,Newcastle United,1,2,0,1,1
2023-12-15,Aston Villa,Norwich City,4,2,0,2,1
